declaration	owner_module	destination_module	visibility	kind
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionLastBasis_mul_sum	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionRankTwoLeft	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	definition
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionRankTwoLeft_mul_right	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionRankTwoRight	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	definition
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionReverseCoefficients	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	definition
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionReverseCoefficients_last	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionReverseCoefficients_norm_sq_sum	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionReverseCoefficients_star_sum	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_alpha_sub_two_le_exceptional_sqrt	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_norm_sq_complex	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_normal_higher_a0_unit	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.Normality	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_normal_higher_coeff_vanish	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.Normality	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_normal_higher_last_coeff_vanish	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.Normality	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_two_sub_alpha_le_exceptional_sqrt	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.fin_add_one_lt_iff_ne_last	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.matrix_rank_add_le	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.matrix_sub_scalar_neg_one_eq_one_add	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.one_add_companionRankTwoRight_mul_left	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.sum_mul_companionLastBasis	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.companionMatrix_sub_scalar_rank_ge_succ	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.companion_transpose_pow_seed_nat	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.companion_transpose_reverseBasis_step	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.scaledSineColumn_eq	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.sin_neighbor_identity	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	private	theorem
