module	path	git_blob	source_sha256	source_lines	format2_declarations	authored_roots	ilean_sha256	ilean_bytes
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanExplicitInverseTerminalClosedForm	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanExplicitInverseTerminalClosedForm.lean	0d305aae965b07299fd1f476f7af51bc2a269399	C7B30BE4F4E02F340D731429CB2615F9D07ACADC3FC995404AC0347EA5785653	356	7	7	315350E394314908C6108B2198D9E6ABC3867103CE7FFE8B242BCED26BBEC3E1	60914
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanRoundedAccumulated	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanRoundedAccumulated.lean	66127391295f0f3f99317ae3808e6afbdb403adf	0AFD5B6C8DFC7FDC24AAC5E3EEE9E2AF092BA50377224CAA30EA837BBD2A0416	576	52	52	9DBF5D2248986315BAB4FE11778617DFD11C798F3D0F67EB20BE2961814DB68F	58967
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanRoundedBridge	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanRoundedBridge.lean	d055d858bee8bd0de15190633688ba44cbc1c2b1	7C7F0FB4ADC994739F44961C593D5C7988105B6911B12A5D3976DAE211A4C59F	378	13	13	8038E2EE8EA22905ACC4BF431F4EEAFF155009FD9DF72F941610AEB7DEF055B4	39481
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanRoundedClosure	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanRoundedClosure.lean	08f1c4844f02f155c04d71a20df4baa9bc121a43	2D301C45B2A340E4E278CAAD612018693306887A8377B2B4A232216A67D76747	819	30	30	00068BA501E8625FADEA9761EA8FBEB975BF28DAA3A81F9DCD42B84C88311339	93634
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanRoundedExecution	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanRoundedExecution.lean	60f531e074fad7f7dfa4fad713a18a40377637d7	2D585CE394568BD41CF94DC3A4956AC77E84BE3DDCD7283B6E85E080C32F9AA0	531	93	22	ED37DF3F7F8944972476AB8224D186E35F8161527655A5C8F052B70BFBE171B7	59165
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanRoundedFactors	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanRoundedFactors.lean	025e06c98fea70c1fbf5bb4c10fcee5cfef56480	D230DC9081FB7C8E0987F2A1C4EE93E1500269C3755566A88FBA2B6F4E8BA640	218	13	13	80DA963799417E2F6D8CBDE007B5A1EB8330A31B33D8C11FC4B2C663B0B81592	24437
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanRoundedGlobal	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanRoundedGlobal.lean	1b5aa6fd96d57327242ea7707777e93d61bbeb24	761C6198B901BD8171CF0B72194A9B3E771E8BA87ED2265EEEFAC6E25B39170F	2315	92	92	399E1BB090E344D3A18CCA389DE39BF644962424DF2C1F2B908B321A700FFB05	341441
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanRoundedGrowth	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanRoundedGrowth.lean	926c8de86d8738c4f2516486da2cd01faf8f41d1	94F97D61673E78E7CD6D865AB1D47EBF4EF70CB23E9EB4DF6B45C43C456F73DC	1716	48	48	85AA35EB0ADAB3E72F6DD41A35CE28ECE51471E966A4E7207A791D926E3A61B3	248379
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanRoundedGrowthSolve	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanRoundedGrowthSolve.lean	fd17540dd691bf3cd5a28b96397dc661021f3745	C07171A26B6D57EB8EE6636E97F859BEB9ECAF0CD6838FF48CEAFFE84C493406	179	4	4	CBF53E2346600AD08030999CB4DFF30B91E612767874D87DEED896893139D4BB	27251
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanRoundedMiddleSolve	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanRoundedMiddleSolve.lean	a33723dd3d3bed6ce01b4f62dd2efaa9ddb44e71	D9D5121708C79F8DC232182B5241D8C987EDFDF41573540D28616FA278F7AAFD	261	3	3	94E5914670C6795CDD6783AA920EB5E113805ED8362274D9A5B141DE8E55D2E3	31816
