format	1
NumStability.ch6aside_maxNorm_not_consistent._proof_1_1	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Asides.MaxNormInconsistency	theorem	internal
NumStability.ch6aside_op2_conditionNumber_ge_one	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Asides.ConditionNumberBounds	theorem	public
NumStability.ch6aside_op2_eq_l2	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Asides.UnitaryInvariance	theorem	public
NumStability.ch6aside_op2_mul_le	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Asides.ConditionNumberBounds	theorem	public
NumStability.ch6aside_op2_two_sided_unitary_invariant	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Asides.UnitaryInvariance	theorem	public
NumStability.ch6aside_withLpBlockSwapCLM	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	definition	public
NumStability.ch6aside_withLpBlockSwapCLM._proof_1	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	theorem	internal
NumStability.ch6aside_withLpBlockSwapCLM._proof_2	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	theorem	internal
NumStability.ch6aside_withLpBlockSwapCLM._proof_3	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	theorem	internal
NumStability.ch6aside_withLpBlockSwapCLM_apply	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	theorem	public
NumStability.ch6aside_withLpBlockSwapCLM_norm	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	theorem	public
NumStability.higham6_doubleDualEvaluation_isGreatest	NumStability.Analysis.HighamChapter6Duality	NumStability.Source.Higham.Chapter06.Equation02	theorem	public
NumStability.higham6_dual_of_dual_norm_eq_original	NumStability.Analysis.HighamChapter6Duality	NumStability.Source.Higham.Chapter06.Equation02	theorem	public
NumStability.higham6_euclideanNorm_hasFDerivAt_of_ne_zero	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Asides.EuclideanNormDifferentiability	theorem	public
NumStability.higham6_euclideanNorm_not_differentiableAt_zero	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Asides.EuclideanNormDifferentiability	theorem	public
NumStability.higham6_holder_commonRay_norm_eq	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Equation01	theorem	public
NumStability.higham6_holder_endpoint_equality_standardBasis	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Equation01	theorem	public
NumStability.higham6_holder_equality_of_powerProfile_sameRay	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Equation01	theorem	public
NumStability.higham6_holder_scalar_equality_of_powerProfile	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Equation01	theorem	public
_private.<module>.NumStability.ch6aside_l2_one	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Asides.UnitaryInvariance	theorem	private
_private.<module>.NumStability.ch6aside_l2_unitary	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Asides.UnitaryInvariance	theorem	private
_private.<module>.NumStability.ch6aside_withLpBlockSwapCLM_bound	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	theorem	private
