format	1
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.NumStability.complex_penrose2	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.0.NumStability.complex_penrose2	_private.NumStability.Source.Higham.Chapter20.Lemma11.0.NumStability.complex_penrose2
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.NumStability.complexification_eq_adjoint_of_symmetric	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.0.NumStability.complexification_eq_adjoint_of_symmetric	_private.NumStability.Source.Higham.Chapter20.Lemma11.0.NumStability.complexification_eq_adjoint_of_symmetric
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.NumStability.domainProjection_fixes_adjointRange	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.0.NumStability.domainProjection_fixes_adjointRange	_private.NumStability.Source.Higham.Chapter20.Lemma11.0.NumStability.domainProjection_fixes_adjointRange
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.NumStability.finrank_leadSpan	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.0.NumStability.finrank_leadSpan	_private.NumStability.Source.Higham.Chapter20.Lemma11.0.NumStability.finrank_leadSpan
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.NumStability.gramRange_eq_adjointRange	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.0.NumStability.gramRange_eq_adjointRange	_private.NumStability.Source.Higham.Chapter20.Lemma11.0.NumStability.gramRange_eq_adjointRange
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.NumStability.leadSpan_eq_gramRange_of_rankIndex	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.0.NumStability.leadSpan_eq_gramRange_of_rankIndex	_private.NumStability.Source.Higham.Chapter20.Lemma11.0.NumStability.leadSpan_eq_gramRange_of_rankIndex
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.NumStability.pseudoinverse_eq_zero_of_complexMatrixRank_eq_zero	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.0.NumStability.pseudoinverse_eq_zero_of_complexMatrixRank_eq_zero	_private.NumStability.Source.Higham.Chapter20.Lemma11.0.NumStability.pseudoinverse_eq_zero_of_complexMatrixRank_eq_zero
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.NumStability.pseudoinverse_output_mem_gramRange	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.0.NumStability.pseudoinverse_output_mem_gramRange	_private.NumStability.Source.Higham.Chapter20.Lemma11.0.NumStability.pseudoinverse_output_mem_gramRange
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.NumStability.rangeProjection_complex_action_le	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.0.NumStability.rangeProjection_complex_action_le	_private.NumStability.Source.Higham.Chapter20.Lemma11.0.NumStability.rangeProjection_complex_action_le
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.NumStability.rangeProjection_idempotent	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.0.NumStability.rangeProjection_idempotent	_private.NumStability.Source.Higham.Chapter20.Lemma11.0.NumStability.rangeProjection_idempotent
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.NumStability.rangeProjection_rectOpNorm2Le_one	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.0.NumStability.rangeProjection_rectOpNorm2Le_one	_private.NumStability.Source.Higham.Chapter20.Lemma11.0.NumStability.rangeProjection_rectOpNorm2Le_one
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.NumStability.realRect_diff_euclideanLin_bound	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.0.NumStability.realRect_diff_euclideanLin_bound	_private.NumStability.Source.Higham.Chapter20.Lemma11.0.NumStability.realRect_diff_euclideanLin_bound
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.NumStability.realRect_eq_zero_of_complexMatrixRank_eq_zero	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.0.NumStability.realRect_eq_zero_of_complexMatrixRank_eq_zero	_private.NumStability.Source.Higham.Chapter20.Lemma11.0.NumStability.realRect_eq_zero_of_complexMatrixRank_eq_zero
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.NumStability.singularValue_ne_zero_iff_le_rankIndex	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_11.0.NumStability.singularValue_ne_zero_iff_le_rankIndex	_private.NumStability.Source.Higham.Chapter20.Lemma11.0.NumStability.singularValue_ne_zero_iff_le_rankIndex
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_12.NumStability.higham20_lemma20_12_complement_mul_rangeProjection_bound	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_12.0.NumStability.higham20_lemma20_12_complement_mul_rangeProjection_bound	_private.NumStability.Source.Higham.Chapter20.Lemma12.0.NumStability.higham20_lemma20_12_complement_mul_rangeProjection_bound
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_12.NumStability.higham20_lemma20_12_projectionComplement_rectOpNorm2Le_one	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_12.0.NumStability.higham20_lemma20_12_projectionComplement_rectOpNorm2Le_one	_private.NumStability.Source.Higham.Chapter20.Lemma12.0.NumStability.higham20_lemma20_12_projectionComplement_rectOpNorm2Le_one
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_12.NumStability.higham20_lemma20_12_rangeProjection_idempotent	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_12.0.NumStability.higham20_lemma20_12_rangeProjection_idempotent	_private.NumStability.Source.Higham.Chapter20.Lemma12.0.NumStability.higham20_lemma20_12_rangeProjection_idempotent
_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_12.NumStability.higham20_lemma20_12_rangeProjection_mul_complement_bound	_private.NumStability.Algorithms.LeastSquares.Higham20Lemma20_12.0.NumStability.higham20_lemma20_12_rangeProjection_mul_complement_bound	_private.NumStability.Source.Higham.Chapter20.Lemma12.0.NumStability.higham20_lemma20_12_rangeProjection_mul_complement_bound
