format	1
declaration	historical_module	destination_module	decision	kind	visibility	command_root	start_line
NumStability.DoolittleDenseLoopAbsBudgetCertificate.casesOn	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	definition	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate	1583
NumStability.DoolittleDenseLoopAbsBudgetCertificate.mk	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	constructor	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate	1583
NumStability.DoolittleDenseLoopAbsBudgetCertificate.of_literal_doolittle_component_dominance	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate.of_literal_doolittle_component_dominance	1695
NumStability.DoolittleDenseLoopAbsBudgetCertificate.of_literal_doolittle_exact_product_margins	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate.of_literal_doolittle_exact_product_margins	1735
NumStability.DoolittleDenseLoopAbsBudgetCertificate.of_literal_doolittle_exact_product_numerator_margins	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate.of_literal_doolittle_exact_product_numerator_margins	1780
NumStability.DoolittleDenseLoopAbsBudgetCertificate.of_literal_doolittle_exact_target_gaps	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LU.Doolittle	retain_historical	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate.of_literal_doolittle_exact_target_gaps	1821
NumStability.DoolittleDenseLoopAbsBudgetCertificate.of_literal_doolittle_source_budgets	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate.of_literal_doolittle_source_budgets	1650
NumStability.DoolittleDenseLoopAbsBudgetCertificate.rec	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	recursor	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate	1583
NumStability.DoolittleDenseLoopAbsBudgetCertificate.recOn	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	definition	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate	1583
NumStability.DoolittleDenseLoopAbsBudgetCertificate.to_DoolittleLU	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LU.Doolittle	retain_historical	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate.to_DoolittleLU	2088
